ID,Question,Answer
1.1.1,True/False: An IP address can consist of any four numbers between 1 and 1000.,False
1.1.2,"Multiple Choice: What is the maximum number in any single part of an IPv4 address?
   - (A) 100
   - (B) 255
   - (C) 500
   - (D) 1024",(B) 255
1.1.3,"Matching: Match the following domain types to their description:
   - (A) .com
   - (B) .edu
   - (C) .gov
   - ___ Commercial
   - ___ Educational
   - ___ Government","(A) Commercial, (B) Educational, (C) Government"
1.1.4,True/False: IPv6 uses 128-bit addresses to allow for a greater number of unique IP addresses compared to IPv4.,True
1.1.5,"True/False: The hostname in a URL must always include ""www.""",False
1.1.6,"Multiple Choice: What protocol is used by a browser to retrieve the IP address of a domain name?
   - (A) HTTPS
   - (B) SMTP
   - (C) DNS
   - (D) TCP",(C) DNS
1.1.7,True/False: The subnet mask of an IPv4 address determines which part of the address represents the network and which part represents the host.,True
1.1.8,"Multiple Choice: Which version of IP is used to create a private network?
   - (A) IPv3
   - (B) IPv4
   - (C) IPv6
   - (D) IPv8",(B) IPv4
1.1.9,True/False: Every device connected to the Internet must have a unique IP address in the IPv4 or IPv6 standard.,True
1.1.10,"Multiple Choice: What does the '255.255.255.0' number represent in a network setting?
   - (A) IP address
   - (B) Network prefix
   - (C) Subnet mask
   - (D) Default gateway",(C) Subnet mask
1.10.1,True/False: The `<input>` element can only be used for text fields in HTML forms.,False
1.10.2,"Multiple Choice: What attribute of the `<input>` element specifies the kind of data expected to be entered by the user?
   - (A) type
   - (B) name
   - (C) value
   - (D) placeholder",(A) type
1.10.3,True/False: The `value` attribute of an input element is visible to the user and can be modified.,True
1.10.4,"Multiple Choice: Which attribute is used to disable an HTML form input field?
   - (A) disabled
   - (B) off
   - (C) inactive
   - (D) readonly",(A) disabled
1.10.5,True/False: The `<label>` element is optional for `<input>` elements but recommended for accessibility.,True
1.3.1,True/False: The <p> tag is used to create line breaks in HTML documents.,False
1.3.2,"Multiple Choice: What is the purpose of the <p> tag in an HTML document?
   - (A) To define a line break
   - (B) To emphasize text
   - (C) To create a paragraph
   - (D) To insert an image",(C) To create a paragraph
1.3.3,True/False: Nested <p> tags are valid in HTML and do not cause any errors in document rendering.,False
1.3.4,"Multiple Choice: How do browsers typically display paragraphs?
   - (A) With no spacing between paragraphs
   - (B) With extra spacing above and below paragraphs
   - (C) By indenting the first line of each paragraph
   - (D) By making the text bold",(B) With extra spacing above and below paragraphs
1.3.5,True/False: Adding extra spaces within the text in an HTML document will affect the spacing between words in most web browsers.,False
1.3.6,"Multiple Choice: What does the <br> tag accomplish in an HTML document?
   - (A) It adds a background color to text.
   - (B) It creates a new paragraph.
   - (C) It inserts a line break within the text.
   - (D) It changes the font size of the text.",(C) It inserts a line break within the text.
1.3.7,True/False: The <br> tag requires a closing tag.,False
